text,label
"Biswanath Chariali mein subah 8 baje se bus stand ke paas itni buses khadi hoti hain ki dono lanes block ho jaati hain, passengers wait karte hain beech sadak pe #BusStandBlock",traffic
"Pobitora sanctuary ke border road pe ek one-horned rhino regularly road pe aata hai evening mein, locals ko pata hai, visitors ko rangers batate hain #PobitaRhino",animal
"Guwahati mein Khanapara flyover pe ek biker ka helmet strap loose tha aur sudden wind ne helmet udaa liya, biker distracted hua aur peeche waaley ne mara #HelmetStrap",accident
"Silchar mein ek hospital ek floor tak paani bhar gaya tha is flood mein, patients ko patients transport karna pada, doctors ne superhuman kaam kiya #HospitalEvacuation",flood
"Aaj mujhe Jorhat airport road pe ek pothole ki wajah se tire puncture ho gaya, flight 30 minute mein thi, bhaga bhaga taxi leni padi 😭 sab gaya #TravelNightmare",pothole
"Biswanath Chariali ke paas Bornadi river ke paas ek crocodile road pe aa gayi, log stunned the, quick forest department response tha, 30 min mein handle hua #CrocOnRoad",animal
"Guwahati ke Amingaon ferry ghat ke paas ek otter swimming karte karte road pe aa gayi, log bewildered the, promptly returned to river on its own #OtterVisit",animal
Dibrugarh ke Mancotta road pe subah shopping ka rush aur evening ka factory shift change dono milke ek bada traffic hell create karte hain roz #DibrugarhTraffic,traffic
"Barpeta mein flood aur subsequent soil erosion ne kuch hectares farmland permanently lost kar diya, farmers ke liye yeh existential crisis hai #FarmlandLoss",flood
"Yaar Guwahati bypass pe ek aisa khadda hai jo 6 mahine se fix nahi hua, uske upar se hazaro gaadiyan daily jaati hain. Ek din koi bada accident hoga phir koi jaagega #DeathTrap",pothole
"Majuli mein ek cycle pe paani mein ghumte hue ek insaan ki photo viral ho gayi, log comment kar rahe hain lekin local log roz is haalat mein hain #MajuliFlooding",flood
"Kaziranga ke core zone ke pass ek female rhinoceros road pe aayi thi baby ke saath, absolute masterpiece was the scene. Forest guard ne gently guided them back. 15 min ruka traffic #RhinoMom",animal
"Biswanath mein ek naya road tha, 8 mahine mein puri tarah gone, quality so poor that locals filed complaint, officer visited, said 'good work done', left #QualityFail",road_damage
"Bihu aane waaala hai aur poore Guwahati mein dhool ki sounds sunai de rahi hain, mann bhar aata hai har saal #BihuSeason",none
"Morigaon mein Jagiroad area mein ek two-wheeler pe teen log the, wohi hui jo honi thi - balancing gaya, teeno gire, ek ki ribs broken ho gayi #ThreeOnBike",accident
"Majuli mein ek heritage temple ka jo ancient structure tha 500 saal purana, is baar flood mein ek portion collapse kar gaya, irreplaceable loss #HeritageFloodLoss",flood
"Kokrajhar mein ek coal transport route pe road literally crunching hai jab truck chalte hain, coal loaded trucks itne heavy hain ki road bear nahi kar sakti #CoalTruckDamage",road_damage
Haflong hill road pe pothole ke saath saath slope bhi hai toh agar kisi ka tyre wahan fas gaya toh gaadi slide kar sakti hai. Bahut dangerous stretch hai yeh #HillRoad,pothole
"Guwahati mein ek road trip planner kar raha hoon Meghalaya ke liye, Shillong, Cherrapunji, Mawlynnong - all in one weekend, advice chahiye kisi travelers se #MeghalayaRoadTrip",none
Bhai NH-715B pe ek aisa pothole hai jo GPS mein bhi mark kar dena chahiye warning ke liye. 3 gaadiyan ek hi din mein damage ho gayin wahan #WarnDrivers,pothole
Rangapara town mein waterlogging itna zyada hai ki hospital jaana bhi mushkil ho gaya hai. Emergency patients ko kaafi dikkat aa rahi hai #HospitalAccess,flood
"Aaj Nagaon mein ek NGO ne distribution ke dauran ghabra gaya tha jab crowd uncontrolled hua, ultimately police aayi aur manage kiya #FloodDistributionChaos",flood
"Aaj ek elderly Assamese lady se bus mein baat hui, unke ghar aane ka invite mila, chali gayi aur unke haath ka dal bhat khaya, so welcoming they #AssameseHospitality",none
"Karimganj mein Bangladesh border ke paas commercial vehicles ki inspection hoti hai aur woh queue road pe hi laga deti hai, 2 km tak regular jam #InspectionJam",traffic
"North Lakhimpur mein ek agricultural fair ke time pe rasta itna narrow tha ki combine harvester truck aur bus aamne saamne aa gaye, took 1 hour to resolve #FairTrafficJam",traffic
Dispur ke Secretariat road pe aaj ek VIP movement tha aur police ne poori road ek ghante ke liye rok di. Common public ka time kisi ko nahi chahiye #VIPCulture,traffic
"Assamese New Year pe Guwahati mein jo festivity thi use dekhne ke liye aankhein kaam kaafi nahi padi, har jagah rang, naach, bihu beats #RohBoisakhi",none
"Aaj Barpeta road area mein ek JCB ne half road block ki aur kisi ne warning nahi diya, sudden jam, honking war chhid gayi, 20 min baad JCB hatai #JCBBlockJam",traffic
"Biswanath Chariali mein ek biker ne 80 km/h pe pothole hit kiya aur fly ho gaya, 15 feet aage gira, seriously injured, helmet tha thankfully #BikerFly",accident
"Karimganj mein relief distribution mein corruption ki khabar aayi hai, kuch log zyada baar line mein lage hain falsely, administration ne probe shuru kiya #FloodCorruption",flood
"Karimganj district mein ek school van ke brakes fail ho gaye school ke andar hi, wall se takra ke ruka, 8 kids the andar, sab safe but sab rone lage #VanBrakeFail",accident
"Guwahati mein Ganeshguri pe ek heavy vehicle ne traffic signal tode bina indicator ke turn liya aur ek auto ko takkar maari, auto waalon ko hospital le jaaya gaya #NoIndicator",accident
"Guwahati mein metro station ke paas bhi paani aa jaata hai baarish mein, agar capital city ka yeh haal hai toh rural Assam mein kya hoga imagine karo #MetroFlood",flood
"Tinsukia ke Makum junction pe roz subah ek type of chaos hai jisme school traffic, market traffic aur highway traffic sabka timing overlap karta hai #JunctionChaos",traffic
"Silchar Tarapur bypass pe ek retaining wall ki 20 metre portion giri hai monsoon mein aur road ka ek side exposed ho gaya hai, dangerous tha driving karna #WallCollapse",road_damage
"Udalguri district mein ek tempo trax overloaded tha aur bridge pe hi ek tyre phuta, tempo khade ho gayi bridge ke beech, bahut badi problem ban gayi #BridgeBlock",accident
"Aaj Guwahati pe apni building ki chhath pe baitha tha evening mein, ek baat yaad aayi ki kitne saalon se yahaan hoon lekin itna kabhi notice nahi kiya surroundings ko #Mindfulness",none
North Lakhimpur mein Subansiri ka jalstar khatarnak level pe aa gaya hai. Sunsaan raaton mein gaon ke gaon khali karne ki naaubat aa sakti hai #AssamAlert,flood
"Aaj Dibrugarh pe baarish mein flood se ek cycle wala bacha tha, usne paani mein cycle duba diya sirf dekh ke kuch log paas khade the aur ek ne bacha diya #CyclistRescue",flood
Aaj Nalbari town mein drainage system fail hua aur bazaar area ek bade puddle mein badal gaya. Dukaandaaron ka lakhon ka nuksaan #MarketFlood,flood
"Jorhat mein hospital road pe ambulance bhi pothole mein bounce karti hai, patient ki condition aur bigad jaati hai raste mein, yeh alag level tragedy hai #HospitalRoad",pothole
"Biswanath Chariali market area mein road ki top layer uthke chhil gayi hai, ab sirf patthar aur gaddhe hain. December mein phir inauguration hoga aur phir yahi haal #InfrastructureFail",pothole
Majuli ferry service baar baar band hoti hai flood season mein aur 1.5 lakh se zyada logon ka island se bahar nikalna impossible ho jaata hai #MajuliIsolated,flood
"Guwahati mein Narengi colony road pe ek building ke saamne ek deep crater ban gaya hai, daily 500 log wahan se jaate hain, koi fatality tak nahi hua lucky hai #GuwahatiCrater",pothole
"Tezpur bridge ke paas ek pedestrian ko ek caar wala almost raudal tha, ped yelled at the car driver, locals mein kaafi frustration hai driver ke against #NearMiss",accident
"Majuli pe ek monitor lizard road pe cross karte waqt ek car ke neeche ghabra ke ruk gaya, driver ne stopped kar diya engine aur lizard eventually moved #MonitorLizard",animal
"Tinsukia ke Digboi-Lekhapani highway pe ek jagah road ke neeche coal mining ki wajah se hollow ho gaya hai shayad, road sun rahi hai literally #RoadSinking",road_damage
"Morigaon mein ek political rally ki wajah se 2 important routes 3 ghante ke liye band rahe, logon ko bada chakkar lagana pada, public ko kab priority milegi #RallyBlock",traffic
"Tezpur pe ek parade ki wajah se main road blocked thi, but alternate route inform nahi kiya kisi ko pehle se, emergency hospital access compromised tha #ParadeBlock",traffic
"Aaj Diphu mein market area mein ek vehicle ne wrongly park karke ek lane effectively closed kar diya, resulting jam mein 200+ vehicles fas gaye #WrongParkJam",traffic
"Silapathar mein ek nayi kaar jo abhi showroom se aayi thi, pehle hi mahine pothole ki wajah se suspension damage hua, owner furious tha dealership pe #NewCarDamaged",pothole
"Goalpara mein Brahmaputra bank ki ek basti mein sab kuch beh gaya, ek budhiya ki saari savings jis dabbe mein thi woh bhi beh gayi, haath chhot gaye unke #HeartbreakingFlood",flood
"Aaj Tezpur mein baarish ke baad road pe jo gaddhe dikhte hain, lagne laga ki yahan land mines laga diye hain kisi ne, har jagah surprise pothole #PostRainPotholes",pothole
"Dibrugarh-Tinsukia highway pe ek bridge ke paas water level road ki surface tak aa gaya hai, heavy vehicles rok di gayi hain #BridgeSafety",flood
"Guwahati Fly Over ke Chandmari end pe roz evening mein ek unofficial parking hua karta tha jo traffic slow karta tha, police crackdown hua finally #CrackdownParking",traffic
"Lakhimpur mein ek school teacher ne khud ke funds se ek small library establish ki village mein, 300 books, daily 30 kids, this is real education hero #TeacherHero",none
"Dhekiajuli road pe itne gaddhe hain ki main GPS ki jagah gaddhe count karke apna location estimate karta hoon, 15 gaddhe matlab 3 km nikal gaye #PotholeGPS",pothole
"Barak Valley mein is baar ek unusual jagah pe flood aaya, area jo pehle safe tha wahan bhi families ko evacuate karna pada hai, changing patterns #NewFloodZone",flood
"Barpeta ke paas ek gaon mein road itni kharab hai ki tractors bhi wahan se avoid karte hain, isliye produce transport mushkil hai, farmers direct loss mein #FarmerSuffering",pothole
"Barpeta road mein ek private car driver ne overtake karte karte ek cycle wale ko almost clipped, cycle wala gira, driver continued, witnesses took plate number #CloseShave",accident
"Silchar ke Meherpur area mein wedding season mein procession ki wajah se road practically band ho gayi, 45 minute baad kuch movement hua tab bhi ek lane se #WeddingJam",traffic
"Morigaon mein ek event venue ke paas koi parking nahi hai officially toh sab road pe park karte hain, event nights pe complete block ho jaata hai area ka #EventParkingJam",traffic
"Silchar mein ek industrial area mein ek forklift ne road pe ghus aaya aur ek small car ko uthaa liya, driver uninjured but experience terrifying tha #ForkLiftAccident",accident
"Dima Hasao mein mountain road pe ek truck overloaded tha aur sharp bend pe pehiye road se bahar ho gaye, thankfully ped ne roka warna khayee mein jaata #MountainRoad",accident
"Silchar mein one way system recently change hua aur half log abhi bhi purana route follow kar rahe hain, head on ke incidents ho rahe hain daily #OneWayConfusion",traffic
"Aaj dekha ki Guwahati mein kuch young entrepreneurs ke saath ek meetup chal raha tha, sab 20s mein the, energy amazing tha, generation aagla theek karega #YoungEntrepreneurs",none
"Biswanath Chariali-Tezpur highway pe ek area mein road bed mein settlement ho gaya hai, road ek side se dip kar gayi hai, dangerous for overtaking #UnEvenRoad",road_damage
"Goalpara ke Dudhnoi bridge pe welding joint toot gayi hai ek beam ki, structure engineer ne bola hai bridge should be closed but traffic chal raha hai abhi bhi #BridgeJoint",road_damage
"Nalbari rural road pe ek bridge ke planks remove ho gaye hain, ek hi iron rod bachi hai bridge mein, phir bhi log cycle se jaate hain daily because no alternate #BridgeDanger",road_damage
"Aaj Kaziranga buffer zone ke gaon mein ek wildlife conservation awareness session dekha, school children ko explain kar rahe the rangers, future protectors they #WildlifeAwareness",none
"Guwahati mein ek science exhibition thi jisme local school students ke projects the, itna innovation tha unmein, resources itne nahi hain lekin ideas bahut hain #StudentInnovation",none
Kamakhya mandir road pe jaate waqt mere scooter ka front wheel ek pothole mein aisa ghusa ki main almost tourist ke upar ja girta. Embarrassing aur dangerous dono #KamakhyaRoad,pothole
"Aaj Tinsukia mein ek hit and run case hua, ek old lady foot crossing kar rahi thi aur ek car ne takkar maarakey bhaag gayi, log witness the, plate noted #HitRun",accident
Kokrajhar-Dhubri highway pe truck rest area nahi hai toh trucks road side pe park karte hain aur road narrow ho jaati hai #TruckParkingJam,traffic
"Dibrugarh mein ek tea estate road pe road level nahi hai after last patch, ek side high, dono side ka paani road ke middle mein hi pool karta hai #BadGrade",road_damage
"Majuli pe ek satra mein handmade masks dekhne ko mile, traditional Sattriya culture mein itna art hai, documentation aur preservation urgent chahiye #SatriyaMasks",none
"Tezpur ke kolibari area mein ek gaay ke sath ek pair ke aur 2 bacche bhi aa gaye road pe, 20 min ruki traffic, gaay ko hatana mushkil tha #CowFamily",animal
"Barpeta mein Manas sanctuary ke paas ek golden langur family road pe dekhi gayi, critically endangered species hai, sighting ki report ki gayi #GoldenLangur",animal
"Pathsala-Barpeta road ke ek bridge pe ek lane temporarily closed hai cracks ki wajah se but no signage, log andar jaate hain phir pata chalta hai closed hai #NoSignage",road_damage
North Lakhimpur mein school bus wale route change kar lete hain because official road pe potholes itne hain ki kids uncomfortable ho jaate hain daily #SchoolBusRoute,pothole
"Silchar mein kuch roads pe repair work itna poor quality tha ki literally 10 din baad wapas potholes ho gaye, bilkul paisa barbaad hai #QuickRepairFail",pothole
"Diphu ke paas ek private school ke bus ka brake failure hua aur bus ek slope pe chhoti deewar se ruk gayi, children scared but unhurt, ek driver praised #BusBreakFail",accident
"North Lakhimpur stadium road ki haalat dekh ke lagta hai yahan koi road thi hi nahi kabhi. Bade bade gaddhe, paani bhara hua, bike chalana almost impossible #LocalIssues",pothole
Karimganj mein Kushiyara river ke paas wale mohalle mein ghar ki foundations mein crack aa gayi hain excessive moisture ki wajah se #FloodDamage,flood
"Tezpur ke paas Nameri ke disha mein ek wild elephant ne ek electric fence tod diya aur road pe aa gaya, DFO team ne carefully wapas forest mein leke gaye #ElephantFence",animal
Bhai meri gaadi ka alignment kharab ho gaya sirf ek mahine mein kyunki Lakhimpur NH pe roz un khaddoon se guzarna padta hai. Repair ka bill road department ko bhejun kya 😂 #Frustrated,pothole
"Halflong hill station ki road pe ek choti si gaari bhi jam karwa sakti hai kyunki roads narrow hain aur overtaking possible nahi, patience test hai roz #NarrowHillRoad",traffic
"Tinsukia ke paas ek coal mine area mein road mein ek lagbhag 10 metre ka ditch ban gaya hai, road literally disappeared, coal subsidence suspected #CoalSubsidence",road_damage
"Assam mein mango season shuru ho gaya hai, roadside pe fresh ambe wale aa gaye hain, ek kilo Himsagar aur ek kilo Langra le aayi hoon abhi #MangoSeason",none
"Jorhat mein ek friends gathering tha last night, chai ke 5 rounds, teen ghante ki baatein, koi bhi future plan nahi tha just present moment, miss karta hoon such moments #Nostalgia",none
"Diphu road pe tribal belt mein road condition bahut buri hai, pehle se kam development hai upar se yeh haal. Central government se funding kab milegi #KarbiAnglong",pothole
"Bihali tea estate mein ek friend ke ghar gaya tha, early morning tea garden mein ghoomna, mist mein hara rang bilkul surreal tha, wish you were there yaar #TeaGarden",none
"Silapathar area mein baadh ke paani ke saath saath machar bhi bahut badh gaye hain, malaria ka darr local log express kar rahe hain #FloodAftermath",flood
"Bongaigaon mein ek old bridge pe ek heavy truck allowed nahi tha, but jaata raha, bridge ki railing toot gayi, truck bacha sirf ek meter se garne se #BridgeRailing",accident
"Aaj Silchar mein ek flyover ke neeche wali road pe ek side ka expansion joint permanently open ho gaya hai, 4 inch gap hai, tyre catch ho sakta hai easily #ExpansionJoint",road_damage
"Cachar district mein ek private vehicle mein 12 log the jo allowed se zyada hai aur vehicle overturned ho gayi slope pe, 7 log hospitalized #OvercrowdedVehicle",accident
"Jorhat mein ek dost ka startup hai natural honey ka, pure Assam valley honey, try kiya hai recently, bahut rich flavor tha, support local businesses #LocalHoney",none
"Bongaigaon mein ek gaon ke paas ek nilgai ka baccha road pe kho gaya tha, locals ne forest waalon ko bulaya, reunification successful thi kitne ghante baad mein #BabyNilgai",animal
"Hojai district mein ek road pe boundary stone shifted ho gaye hain, road ka actual width khatam ho gayi hai, vehicles jaisi off-road vehicles bhi avoid karte #BoundaryShift",road_damage
Silapathar mein ek road ki ek side pe soil erosion itni aggressive hai ki road ka ek metre already gone hai compared to 2 years ago aerial photos se compare karo #ProgressiveErosion,road_damage
"Lakhimpur mein ek police jeep ka tyre burst hua high speed pe aur jeep ek ditch mein gayi, 2 police officers injured but alive, critical speed pe tha yeh #PoliceAccident",accident
"Aaj Karbi Anglong mein ek truck driver ne dekha ki ek tiger road ke kinare baitha tha aur aage jaane ki koshish ki toh tiger growl kiya, driver ne reverse kiya immediately #TigerEncounter",animal
"Morigaon mein ek nadi ke paas road bank protection ka ek section washed away ho gaya, ab road directly nadi ke upar exposed hai, ek strong current aur road gone #BankWashed",road_damage
"Sivasagar ke paas ek road pe jhadi aur jungle ne road edges ko encroach kar liya hai, 4 lane road effectively 2 lane ban gayi hai #VegetationEncroach",road_damage
"Guwahati mein Panjabari ke paas ek road pe jo naye curbs bane hain woh pehli baarish mein hi kuch jagah se dhaas gaye, improper base preparation tha clearly #CurbFail",road_damage
"Majuli island ke ferry ghat pe high tide mein 2-3 ghante ka wait hota hai aur vehicles bhi queue mein hoti hain, coordination bilkul nahi hai ferry timings ka #FerryDelay",traffic
"Tezpur ke near National Park ke paas ki road pe barish ke kaaran unani erosion bahut visible hai, agle teen saalon mein road ghayab hogi agar kuch nahi kiya #ErosionDamage",road_damage
"Kokrajhar mein ek peaceful protest ka route main road se guzra aur 2 ghante ka jam hua, koi advance coordination wasn't done with police #ProtestJam",traffic
"NH-27 pe Goalpara se aage ek overloaded truck ka axle toot gaya aur truck dono lanes block kar di. 45 minute ki delay thi minimum, meri train choot gayi 😩 #TruckBreakdown",accident
"Pathsala-Nalbari route pe road ek jagah se cut off ho gayi hai flooding ki wajah se, yeh important commercial route tha is area ke liye #RouteBlocked",flood
"Dhemaji ke paas ek bridge ke abutment mein flood ka pressure itna tha ki bridge slightly shifted, engineer team wahan hai, ab bridge closed hai #BridgeDamageFlood",flood
"Barpeta road bypass pe baarish ke baad naye naye pothole ugne lagte hain jaise mushroom ug rahe ho. Aaj 5 naye mile, kal 10 milenge #MonsoonProblems",pothole
"Aaj Guwahati mein ek biker ne signal todke jaana chahha aur ek e-rickshaw se maara, dono gire, e-rikshaw waaley ke haath mein fracture aa gayi #SignalJump",accident
"Jorhat-Sibsagar highway pe ek 100 metre ka stretch mein road ka surface completely debonded ho gaya hai, loose asphalt chunks hain, tyre puncture risk #AsphaltDebond",road_damage
"Bilasipara mein new commercial area ke paas road construction lagbhag 8 mahine se chal raha hai. Na road na advance payment return, public pareshan hai #Construction",pothole
"Jorhat mein flood ke baad ek malaria outbreak ki warning aayi hai, health department alert pe hai, mosquito breeding control operation start hua #PostFloodHealth",flood
"Hojai mein ek industrial setup ke dhundh ki wajah se visibility bilkul kam ho gayi thi, traffic slow tha, accidents ka darr tha, municipality ko action lena chahiye #IndustrialSmog",traffic
"Lakhimpur mein ek gaon ke sarpanch ne bataya ki un logon ne NDRF ko 2 din pehle bulaya tha, ab tak nahi aaye aur paani badhta ja raha hai #NDRFDelay",flood
"Assam mein ek aur flood aaya aur ek aur baar NDRF team ko air drop karna pada food packets, yeh cycle rok nahi sakte hain kya long term plan se #AnnualFloodCrisis",flood
"North Lakhimpur mein HSLC exam ke din sab parents drop karne aaye ek saath ek route pe aur school zone 500m pehle se jam ho gayi, ek ghante tak #ExamDayJam",traffic
"Gohpur ke paas ek haathi ka jhund NH-15 pe aa gaya tha aaj subah, forest department ko call kiya gaya. Kaafi photos li logo ne, road band rahi ek ghante tak #ElephantAlert",animal
"Haflong hill road pe ek jeep overturned ho gayi steep slope pe, 3 log andar the, ek ko minor injuries aayin, rescue team pahunchi lekin mushkil tha wahan pahunchna #HillAccident",accident
"Aaj Dibang valley ke paas road pe ek snow leopard trail ka pata chala, fresh marks the road pe, wildlife officers ne investigation start kiya #SnowLeopard",animal
"Morigaon district mein ek brave 16 saal ke ladke ne 3 bacchon ko nadi mein se nikaala, himself almost dub gaya, real bravery #TeenHero",flood
"Dibrugarh university ke paas evening walk pe gaya tha, university campus kitna sundar hai, jaake dekhna chahiye jo kabhi nahi gaye #DibrugarhUni",none
"Sibsagar shiv sagar lake ke paas evening mein baitha tha, ducks swimming, temples on the banks, simple scene but bahut beautiful tha honestly #SibsagarLake",none
"Tezpur mein ek old library mein gaya tha, brittle but rare books mili Assamese literature ki, this is our intangible heritage and needs preservation #LibraryHeritage",none
